epoch,beta,train_loss,train_recon,train_kld,val_loss,val_recon,val_kld,seconds
1,0.1,957.2426595769377,932.8381750318739,244.04479849236643,206.91618959960937,184.00950295410155,229.06686506347657,108.58682942390442
2,0.2,197.81726273104675,160.66387564504248,185.7669285505246,176.77263911132812,139.68840762939453,185.42115502929687,82.91852521896362
3,0.3,185.28427260961288,138.21446930648935,156.89933887709918,173.38563522949218,127.25508715820312,153.76848706054687,84.53435325622559
4,0.4,186.9107412354559,133.3406515529013,133.92522298372708,180.40208881835937,128.18080134277344,130.55321634521485,84.01282811164856
5,0.5,192.6290799654447,134.09071162623218,117.07673713488457,186.21161650390624,128.838652734375,114.74592724609376,84.86509919166565
6,0.6,197.42137432913495,135.22797266642252,103.65566543839935,198.23539594726563,134.50802717285157,106.21227697753906,86.40286183357239
7,0.7,203.23225624540933,137.8739138546153,93.3690624563103,199.7292949951172,134.34919475097655,93.4001437866211,93.2191014289856
8,0.8,207.6931637494992,139.66658425942447,85.03322214957996,203.48603618164063,136.62595129394532,83.57510397949218,101.282879114151
9,0.9,212.49541854858398,142.28632954654532,78.01010086189987,210.5100794433594,140.88066811523439,77.36601489257812,145.2482078075409
10,1.0,217.1188646952311,145.03353135198608,72.08533360407903,214.249150390625,143.5421240234375,70.70702626953126,90.55147814750671
11,1.0,214.16400094317575,143.29086015163324,70.87314098716801,212.14879692382812,140.90481916503907,71.24397696533204,94.49248909950256
12,1.0,211.91026038797492,141.6674164013985,70.24284398657645,210.6653811035156,138.61775087890624,72.04763012695312,85.8875801563263
13,1.0,210.84494012033838,140.95183167090784,69.8931082864093,207.93125134277344,138.53852055664063,69.39273000488281,87.89054203033447
14,1.0,208.87831154847757,139.27326704498032,69.60504474802914,207.83251442871094,138.01502923583985,69.8174844116211,85.25008177757263
15,1.0,207.6900673890725,138.35174417088174,69.33832328339928,206.07719379882812,137.36801505126954,68.70917824707031,86.26404142379761
16,1.0,206.5863759619558,137.44651228749854,69.13986360924875,206.39587116699218,136.9552963623047,69.440575,79.68039798736572
17,1.0,205.9817658774873,136.91933540605072,69.06243060185359,206.40808881835937,137.63090900878908,68.7771799987793,80.36894369125366
18,1.0,204.98258463541666,135.97463793632312,69.00794645456168,204.1801919921875,134.8236146850586,69.35657770996093,82.20856428146362
19,1.0,203.96453935672076,135.05983060853094,68.90470856886644,202.91671560058595,134.9703774169922,67.94633828735351,84.57388186454773
20,1.0,203.5074641235873,134.65828536922095,68.84917864025148,202.02561484375,134.2222121948242,67.80340274047852,84.55076813697815
21,1.0,202.7488188458304,133.96185426630527,68.78696461212941,202.76827172851563,133.93720904541016,68.83106247558594,84.71517300605774
22,1.0,202.38623689178726,133.62773711049658,68.75849984649919,202.65496196289064,134.2373891845703,68.4175727783203,81.32536888122559
23,1.0,201.53510470268054,132.8376523368379,68.69745230063414,202.39957097167968,135.17910721435547,67.22046405029297,81.0752785205841
24,1.0,201.0789779271835,132.34070308391864,68.73827490032228,200.8031890625,131.8138430908203,68.98934675292969,83.28922963142395
25,1.0,200.95093197292752,132.24973944313507,68.7011928476839,200.26177180175782,132.29458947753906,67.96718202514649,86.8522276878357
26,1.0,200.4327650151701,131.7281374483027,68.70462766468016,200.24726494140626,132.48217540283204,67.76508827514648,87.20257019996643
27,1.0,200.1686139555059,131.43056334797134,68.73805081946219,199.94930747070313,131.92798138427733,68.02132658691406,87.53472208976746
28,1.0,199.39105860392252,130.74140659560504,68.6496520898281,199.2941228515625,130.6351137451172,68.6590090209961,83.00009179115295
29,1.0,199.30846639779898,130.64715791359927,68.66130860646565,199.4335675048828,131.43959581298827,67.99397218017577,87.74767851829529
30,1.0,199.062930147872,130.4497508024558,68.61317949213533,200.19310463867188,132.08185412597658,68.11125128173828,86.51607275009155
31,1.0,198.29420666816907,129.63970389732947,68.65450293386084,199.09059448242186,129.87527158203125,69.21532299804687,84.36518716812134
32,1.0,198.1745427123502,129.51823391058505,68.65630836160774,198.31297026367187,129.5042920776367,68.80867837524414,99.59940361976624
33,1.0,197.60624316614917,128.91517852717993,68.69106472047986,198.16545844726562,129.7032212890625,68.46223736572266,87.97450828552246
34,1.0,197.83291671622513,129.17917024987375,68.65374600989188,199.49828364257812,131.38629790039062,68.11198573608398,87.1408281326294
35,1.0,197.15637930845602,128.54451970157461,68.61185936234955,198.35298120117187,130.20560682373048,68.1473741821289,88.21114921569824
36,1.0,196.84080942268045,128.20487296275604,68.6359365088308,197.36196508789064,128.9728154296875,68.38914985961914,92.36296463012695
37,1.0,197.40956105941382,128.7889856843867,68.6205752935165,197.30966662597658,128.23918061523437,69.07048532714843,90.88174676895142
38,1.0,196.58439235198193,127.988066828149,68.5963253119053,198.62933452148437,130.15139626464844,68.47793796386719,86.07461142539978
39,1.0,196.29821865375226,127.6966857747135,68.601532911643,196.5629574951172,128.45601684570312,68.10694025878907,88.40922451019287
40,1.0,195.90917023226746,127.33586891695984,68.5733012990055,197.0816525390625,128.34759104003905,68.73406198730468,87.03285932540894
