epoch,beta,train_loss,train_recon,train_perceptual,train_kld,val_loss,val_recon,val_perceptual,val_kld,seconds
1,0.1,1304.0479922824436,1273.825700156709,6.627362134110214,295.595521882049,255.22093015136718,235.5725244628906,5.783491484832764,190.70056796875,143.00425672531128
2,0.2,232.80837223672458,200.20621399186615,5.6454904731522255,160.18804152399048,203.72562961425783,170.34262900390624,5.53951151046753,164.145241015625,76.05846881866455
3,0.3,206.49405702770267,164.17043053390634,5.44962937098283,139.26220660739475,192.84509353027343,150.88246474609375,5.382908435058594,138.08112294921875,75.93328523635864
4,0.4,200.41743880051834,151.24217067620694,5.326753915884556,121.6064775744055,191.79556220703125,143.23672790527343,5.282279963684082,120.07651473388673,76.18489980697632
5,0.5,201.36077401576898,146.66186156639685,5.244777584687258,108.34886960086659,194.40120842285157,140.05850146484374,5.197953865814209,107.64582436523438,78.25387501716614
6,0.6,204.36596396030524,145.0649161053519,5.180663979970491,97.97163252545218,199.68455603027343,140.7122100341797,5.1509342086792,97.42875135498046,79.40846657752991
7,0.7,208.1414659614237,145.0703031425802,5.130564518463918,89.36872337210892,204.3638490234375,142.40944654541016,5.1065173828125,87.77678841552735,84.44516801834106
8,0.8,212.55580269577158,146.43404212364783,5.091689432788099,82.01573766398634,208.590412109375,144.03975744628906,5.070020004272461,80.0545658203125,76.38207483291626
9,0.9,216.87621802957648,148.21221601046048,5.059776964350643,75.73114007151025,213.72880288085938,145.3636072998047,5.0309794258117675,75.40233310546876,76.2473680973053
10,1.0,221.2751961080437,150.49920090243347,5.029806164594797,70.27301437834389,218.59710693359375,148.8357931640625,5.020421981811523,69.25927210083007,81.81484699249268
11,1.0,218.64281362549872,148.78506913144363,4.99434215696449,69.35831014519064,215.97584809570313,146.95020825195311,4.97886452331543,68.52775392456054,78.64891457557678
12,1.0,216.02871498694788,146.47073667477338,4.961565667747433,69.06182157076321,213.66064384765625,143.172776171875,4.942121865844727,69.99365581054687,78.93425559997559
13,1.0,214.34027761475653,145.02122999664047,4.931421222849789,68.82590544937004,212.12129072265625,143.32509267578126,4.922275746917725,68.30397107543945,81.82432985305786
14,1.0,212.95748171031985,143.82881298228207,4.90764039194482,68.63790464808798,210.71783525390626,140.81719331054688,4.900261564636231,69.41061561279297,78.95677375793457
15,1.0,211.94554053412543,142.89599606114575,4.886968672784985,68.5608477959266,210.4661765625,139.34778885498048,4.8876376953125,70.62962360839843,76.24765729904175
16,1.0,210.67431268936548,141.76145410130167,4.8667636926357565,68.42618255941277,208.56552338867186,140.06531821289062,4.860589120483398,68.01414641113281,76.1834614276886
17,1.0,209.6185540745401,140.7546133709769,4.848859383509709,68.37905443631686,212.35460288085937,145.6796615234375,4.873331153106689,66.18760748901367,78.00014019012451
18,1.0,208.64918641962558,139.8657757359692,4.834393154861581,68.2999711158948,207.3463049560547,137.88420738525392,4.828601867675781,68.97923693847656,78.37012100219727
19,1.0,208.4063189905933,139.5956480890258,4.822843349896944,68.3283866980137,206.46532707519532,137.87870705566405,4.815627206420898,68.10505717773438,78.89038705825806
20,1.0,207.3434458349505,138.65075479817187,4.80762491063175,68.21192868550618,207.8422044921875,138.66145498046876,4.81786635055542,68.69896226806641,74.42736649513245
21,1.0,206.47471364339194,137.7706268832215,4.796150111744547,68.2244721600133,205.84915678710937,138.78027418212892,4.804830416870117,66.5883995727539,75.42897129058838
22,1.0,206.2939332815317,137.65521414667114,4.787160206044841,68.16000299372224,209.23508818359375,142.25034528808592,4.8042088249206545,66.50432282104492,75.88685631752014
23,1.0,205.52033523820404,136.86371800023267,4.777478192606543,68.17886937785353,205.02196420898437,137.81576840820313,4.791986798858643,66.7269969116211,77.34879922866821
24,1.0,205.27316926483414,136.58751983316535,4.768537355284406,68.20879624847673,204.04049914550782,134.85823482666015,4.767758634948731,68.70548865356446,78.26187515258789
25,1.0,204.59698365692398,135.9459910759559,4.759224642036307,68.17507044474284,203.8078973876953,135.5957846923828,4.780169111633301,67.73409615478515,82.42052054405212
26,1.0,204.1825303623819,135.55343156798273,4.752040444276272,68.15389488089798,203.3181916015625,134.4170107055664,4.771719458770752,68.4240083190918,77.3730309009552
27,1.0,203.7613689390003,135.17975057292188,4.745712810092503,68.1070470076341,203.60646669921874,134.8666307373047,4.757269186401367,68.26410833129883,76.95663285255432
28,1.0,203.01299129388272,134.41464236658862,4.73552624690227,68.12479571807079,202.334584765625,133.49580107421875,4.738666759490966,68.36491691894531,78.65829372406006
29,1.0,202.99940777640057,134.39716104360727,4.730826343226637,68.12916410071219,202.36886103515624,133.03208098144532,4.736526972198487,68.86312811279296,79.47116827964783
30,1.0,202.73069913163144,134.16073561122275,4.725093527736827,68.09745363088754,202.31778745117188,133.83810861816406,4.7533445610046385,68.00434353027343,80.40766716003418
31,1.0,202.29209648849618,133.74755653968225,4.7201002194331245,68.07252994765584,201.82541079101563,132.72115364990233,4.721289414978028,68.63212882080079,80.78531122207642
32,1.0,202.0394166799692,133.4369370713193,4.715362231955569,68.13094321682922,201.84240229492187,132.62796048583985,4.721449755859375,68.74229722900391,79.57224893569946
33,1.0,201.56530429155399,132.99483406849396,4.709156607970213,68.09955453465128,201.65947102050782,132.6782112060547,4.720162477874756,68.5092430908203,75.39129686355591
34,1.0,201.3406638447036,132.71399486574353,4.704005638758342,68.15626881265233,201.26399848632812,133.35703049316407,4.721249765777588,67.43484278564453,75.52119278907776
35,1.0,201.18798042362573,132.59834682431995,4.699863399195875,68.11964706681732,202.98856284179686,134.02049470214843,4.710537847137451,68.49701376953125,76.24277138710022
36,1.0,201.03566298525558,132.475921581953,4.6971387883536835,68.0900272385687,201.19405302734376,132.40006507568359,4.711945400238037,68.3227939880371,76.91406846046448
37,1.0,200.70879683535324,132.08354100610455,4.691030100879506,68.15615262740698,200.88412912597656,131.8749919189453,4.702780162811279,68.53885803833008,77.42798662185669
38,1.0,200.6687175718128,132.11775333045895,4.68842699079432,68.08212175939838,201.16942456054687,131.20289293212892,4.705326932525635,69.49599929199219,74.64823889732361
39,1.0,200.20605869782275,131.6376149919298,4.683947363470355,68.10004886398967,199.77600798339844,131.2505494506836,4.693439787292481,68.05611497192383,75.67447900772095
40,1.0,199.9896459987021,131.3766989748702,4.678604819835761,68.1450867775159,199.7459478515625,131.8038194580078,4.701183921813965,67.47200962524414,77.07275176048279
