epoch,train_loss,train_mse,train_repa,val_mse,seconds
1,0.04415960468848546,0.04415960468848546,0.0,0.027544042563438415,465.35678148269653
2,0.027381454748908678,0.027381454748908678,0.0,0.02584796919822693,444.996408700943
3,0.025676504158476988,0.025676504158476988,0.0,0.024838348302245142,446.61237835884094
4,0.025099023346602918,0.025099023346602918,0.0,0.024716964823007583,446.80859375
5,0.024452315193911393,0.024452315193911393,0.0,0.023970775052905083,446.8010914325714
6,0.02409071068118016,0.02409071068118016,0.0,0.023752885040640832,447.38827323913574
7,0.024081651543577512,0.024081651543577512,0.0,0.02367467313706875,452.2099392414093
8,0.023658013961215814,0.023658013961215814,0.0,0.023408701172471045,456.99461913108826
9,0.0236159091591835,0.0236159091591835,0.0,0.023449325266480445,454.0574007034302
10,0.02348621797313293,0.02348621797313293,0.0,0.023398987764120104,447.4505503177643
11,0.023367810747027398,0.023367810747027398,0.0,0.022639042943716048,446.965535402298
12,0.02317983534584443,0.02317983534584443,0.0,0.023093229267001154,446.9118938446045
13,0.023052274539570015,0.023052274539570015,0.0,0.023047923332452775,446.50221014022827
14,0.023109841218590735,0.023109841218590735,0.0,0.023410008800029754,453.9127948284149
15,0.022961619225144385,0.022961619225144385,0.0,0.02302051702141762,460.05476665496826
16,0.022891437735656897,0.022891437735656897,0.0,0.02246793030500412,457.94071555137634
17,0.022786992164949577,0.022786992164949577,0.0,0.0228729054749012,451.53551721572876
18,0.022843242959678173,0.022843242959678173,0.0,0.022808095440268517,446.79264640808105
19,0.02260501254796982,0.02260501254796982,0.0,0.022601856264472007,446.26466059684753
20,0.022686688247323037,0.022686688247323037,0.0,0.022208517029881476,446.9612309932709
21,0.022623965395987034,0.022623965395987034,0.0,0.022301968243718148,447.1386709213257
22,0.022464889085789523,0.022464889085789523,0.0,0.022071697130799293,446.83802580833435
23,0.022338888333241144,0.022338888333241144,0.0,0.022512590345740317,455.3559076786041
24,0.022249293188254037,0.022249293188254037,0.0,0.02252223772406578,458.181759595871
25,0.02249384076644977,0.02249384076644977,0.0,0.02232710261642933,449.94720458984375
26,0.022463820516566434,0.022463820516566434,0.0,0.02273611413240433,445.4672911167145
27,0.022516084871192773,0.022516084871192773,0.0,0.02246790965795517,446.3560652732849
28,0.022320452368756134,0.022320452368756134,0.0,0.02215362120270729,446.51812648773193
29,0.022387758600215118,0.022387758600215118,0.0,0.02194914713203907,446.67343306541443
30,0.022217271672189235,0.022217271672189235,0.0,0.022319446751475333,446.3950960636139
31,0.022273433382312458,0.022273433382312458,0.0,0.022255615712702275,456.7217607498169
32,0.022255293153723082,0.022255293153723082,0.0,0.02185468430519104,455.81466579437256
33,0.02216046547641357,0.02216046547641357,0.0,0.02229485824406147,446.84312415122986
34,0.022210240443050863,0.022210240443050863,0.0,0.022460106441378594,448.4620418548584
35,0.02218923548012972,0.02218923548012972,0.0,0.022248223516345023,445.5870203971863
36,0.02225724597920974,0.02225724597920974,0.0,0.022292585325241088,446.48290848731995
37,0.022077153733869394,0.022077153733869394,0.0,0.02205355883538723,446.51136350631714
38,0.021991468570133052,0.021991468570133052,0.0,0.022201885855197907,451.37340021133423
39,0.02211036296884219,0.02211036296884219,0.0,0.021784713339805604,456.5258734226227
40,0.022237322133779526,0.022237322133779526,0.0,0.02190771505534649,455.97448325157166
41,0.022091101939976217,0.022091101939976217,0.0,0.022071523207426072,445.8687241077423
42,0.021961456725001334,0.021961456725001334,0.0,0.02222719851732254,445.92606830596924
43,0.02205549989938736,0.02205549989938736,0.0,0.022531025236845015,446.0783030986786
44,0.021992616159220536,0.021992616159220536,0.0,0.02168356575369835,445.926589012146
45,0.021879045586287976,0.021879045586287976,0.0,0.021974678894877434,445.99301981925964
46,0.02186174145489931,0.02186174145489931,0.0,0.022114614044129847,474.49888038635254
47,0.021931329766412575,0.021931329766412575,0.0,0.022130609542131426,453.20493483543396
48,0.021841645802557468,0.021841645802557468,0.0,0.021870808631181717,453.68766260147095
49,0.021989883449673654,0.021989883449673654,0.0,0.02213356479406357,454.07703971862793
50,0.02183180317779382,0.02183180317779382,0.0,0.02189786202907562,454.79923391342163
51,0.02194301138073206,0.02194301138073206,0.0,0.02215590691268444,455.28446650505066
52,0.021731299309929213,0.021731299309929213,0.0,0.022030277103185655,454.7413852214813
53,0.021919659013549486,0.021919659013549486,0.0,0.021709667271375657,454.4632890224457
54,0.021824245296418666,0.021824245296418666,0.0,0.02195254105627537,453.70684838294983
55,0.02184470465729634,0.02184470465729634,0.0,0.022004368683695794,454.24734377861023
56,0.021929124821722507,0.021929124821722507,0.0,0.021631853705644608,455.02829360961914
57,0.021924817871054013,0.021924817871054013,0.0,0.02193117364346981,455.1498339176178
58,0.02160022210131089,0.02160022210131089,0.0,0.021707204031944274,454.017587184906
59,0.02185051276286443,0.02185051276286443,0.0,0.0217147980093956,454.41709661483765
60,0.021701699219147365,0.021701699219147365,0.0,0.02185080077648163,454.34276127815247
61,0.02168158629288276,0.02168158629288276,0.0,0.021701710540056228,454.29463958740234
62,0.021743193012972672,0.021743193012972672,0.0,0.02175340533256531,455.03518056869507
63,0.021715381618837515,0.021715381618837515,0.0,0.021795110940933227,455.102153301239
64,0.021628372555971144,0.021628372555971144,0.0,0.021885744453966616,454.9156930446625
65,0.02177990850309531,0.02177990850309531,0.0,0.021500315836071968,455.2416458129883
