epoch,train_loss,train_mse,train_repa,val_mse,seconds
1,0.22104806297139654,0.22104806297139654,0.0,0.19404149141311647,245.29238176345825
2,0.18857711365122423,0.18857711365122423,0.0,0.18843365490436553,89.34603643417358
3,0.18867617253146532,0.18867617253146532,0.0,0.1805352272748947,89.23715996742249
4,0.18720283832405013,0.18720283832405013,0.0,0.18302030992507934,88.86670923233032
5,0.18623819056671737,0.18623819056671737,0.0,0.18771418948173524,87.4828507900238
6,0.18574141656131093,0.18574141656131093,0.0,0.1837956534385681,88.9988260269165
7,0.18434297272750635,0.18434297272750635,0.0,0.18210333244800567,88.58336329460144
8,0.1844819877435838,0.1844819877435838,0.0,0.1823389108657837,89.35597133636475
9,0.18420969695647982,0.18420969695647982,0.0,0.18256541485786437,88.8501410484314
10,0.18156819546489858,0.18156819546489858,0.0,0.18389853031635284,88.04481816291809
11,0.18245800116209746,0.18245800116209746,0.0,0.18298840389251708,88.33056783676147
12,0.18217354964389362,0.18217354964389362,0.0,0.18428219838142396,88.43904304504395
13,0.18150979519812757,0.18150979519812757,0.0,0.18263971682786942,89.0360815525055
14,0.1812075466203842,0.1812075466203842,0.0,0.18364864020347596,88.42446208000183
15,0.18200533515838319,0.18200533515838319,0.0,0.17904673721790312,88.39670658111572
16,0.18120425039447105,0.18120425039447105,0.0,0.17899426646232605,89.3323085308075
17,0.18097055863227254,0.18097055863227254,0.0,0.18325267919301988,88.5387544631958
18,0.18231622645732815,0.18231622645732815,0.0,0.1798827540874481,87.79496598243713
19,0.18166981429943024,0.18166981429943024,0.0,0.17590256781578065,87.57281827926636
20,0.18084477431269058,0.18084477431269058,0.0,0.1769658995628357,89.11504101753235
21,0.17893239828731106,0.17893239828731106,0.0,0.17871917843818663,89.0146131515503
22,0.1811875576111652,0.1811875576111652,0.0,0.1764603883266449,89.309903383255
23,0.1793995361651911,0.1793995361651911,0.0,0.17638763480186462,89.24568486213684
24,0.179785267305794,0.179785267305794,0.0,0.17294784156084061,88.59927034378052
25,0.17978876294804738,0.17978876294804738,0.0,0.18398209047317504,87.59541749954224
26,0.180480056918418,0.180480056918418,0.0,0.1821260546207428,87.84888792037964
27,0.18105839434593693,0.18105839434593693,0.0,0.17879659361839295,87.63911962509155
28,0.17833688576867765,0.17833688576867765,0.0,0.17928805639743806,87.61564373970032
29,0.1791813565992622,0.1791813565992622,0.0,0.17845101652145387,87.18794369697571
30,0.17908987999280462,0.17908987999280462,0.0,0.18023009152412414,88.20833230018616
31,0.17849172320189063,0.17849172320189063,0.0,0.1810851263523102,87.79623103141785
32,0.17776048137322306,0.17776048137322306,0.0,0.1766983696937561,88.64773845672607
33,0.18017799316596322,0.18017799316596322,0.0,0.18106596050262452,89.32651376724243
34,0.17996716535110485,0.17996716535110485,0.0,0.17724597613811494,88.3393919467926
35,0.17915899865528054,0.17915899865528054,0.0,0.17647955770492554,87.37807011604309
36,0.17706060749871244,0.17706060749871244,0.0,0.17712902381420134,87.29647612571716
37,0.1785670676235837,0.1785670676235837,0.0,0.17631837735176087,85.54630470275879
38,0.17933159584742092,0.17933159584742092,0.0,0.174528895509243,85.85643172264099
39,0.1772600810104144,0.1772600810104144,0.0,0.17615283980369567,85.86143922805786
40,0.17554792236206754,0.17554792236206754,0.0,0.17815279326438904,86.01304602622986
41,0.1779606731622425,0.1779606731622425,0.0,0.17881194701194764,86.43301296234131
42,0.17771711584534436,0.17771711584534436,0.0,0.17366872205734252,87.24090790748596
43,0.17827110387695,0.17827110387695,0.0,0.17671439335346223,87.81908679008484
44,0.17747391485226446,0.17747391485226446,0.0,0.17623211288452148,86.98297333717346
45,0.17743810837971108,0.17743810837971108,0.0,0.17408064206838608,86.26443195343018
46,0.17601147492832664,0.17601147492832664,0.0,0.17513953127861023,86.4832854270935
47,0.17708623213663682,0.17708623213663682,0.0,0.1832734687805176,86.91123843193054
48,0.17613743789486086,0.17613743789486086,0.0,0.1762699505329132,86.30250215530396
49,0.17761519741318652,0.17761519741318652,0.0,0.17898704462647438,86.24675583839417
50,0.17595399797694278,0.17595399797694278,0.0,0.1808167507648468,92.71347260475159
51,0.17529493979831387,0.17529493979831387,0.0,0.17067928144931793,86.1946656703949
52,0.17574484530228052,0.17574484530228052,0.0,0.1808494781970978,85.34410262107849
53,0.17665416816509902,0.17665416816509902,0.0,0.17690649933815003,84.84269094467163
54,0.17650217141482974,0.17650217141482974,0.0,0.17954881565570832,85.92308044433594
55,0.1754984312005969,0.1754984312005969,0.0,0.17336051142215728,85.39289712905884
56,0.17678504230468478,0.17678504230468478,0.0,0.17774463682174682,85.40356063842773
57,0.17567200808444933,0.17567200808444933,0.0,0.17612970595359803,85.7400815486908
58,0.17592233401129823,0.17592233401129823,0.0,0.17604549636840822,85.55794930458069
59,0.17420973171546594,0.17420973171546594,0.0,0.16901248326301574,85.25390934944153
60,0.17452181466997244,0.17452181466997244,0.0,0.1760988307952881,86.01548171043396
61,0.1772202186946426,0.1772202186946426,0.0,0.17535472209453581,90.48494935035706
62,0.17669977805912176,0.17669977805912176,0.0,0.17271345376968383,86.83916902542114
